person_id,on_time_flag,declared_turnover,gstr1_due_date,gstr1_filed_date,gstr3b_due_date,gstr3b_filed_date
USR_6531D56D,TRUE,700967.58,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_6531D56D,TRUE,736903.04,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_6531D56D,TRUE,421269.05,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_6531D56D,TRUE,507072.63,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_6531D56D,TRUE,528986.23,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_6531D56D,TRUE,531267.28,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_84B0D8F2,TRUE,355057.34,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_84B0D8F2,TRUE,618787.53,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_84B0D8F2,TRUE,932466.72,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_84B0D8F2,TRUE,635573.9,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_84B0D8F2,TRUE,227194.06,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_84B0D8F2,TRUE,922519.4,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_335D72A3,FALSE,942700.52,2025-12-11,2026-01-04,2025-12-20,2026-01-13
USR_335D72A3,FALSE,693210.08,2025-12-11,2026-01-07,2025-12-20,2025-12-24
USR_335D72A3,FALSE,407962.3,2025-11-11,2025-11-12,2025-11-20,2025-11-25
USR_335D72A3,FALSE,671114.81,2025-10-11,2025-10-27,2025-10-20,2025-11-14
USR_335D72A3,FALSE,933855.99,2025-09-11,2025-09-13,2025-09-20,2025-09-23
USR_335D72A3,FALSE,262601.76,2025-08-11,2025-08-29,2025-08-20,2025-08-23
USR_410C2E86,TRUE,737984.23,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_410C2E86,TRUE,662793.57,2025-12-11,2025-12-11,2025-12-20,2025-12-20
USR_410C2E86,TRUE,203320.8,2025-11-11,2025-11-11,2025-11-20,2025-11-20
USR_410C2E86,TRUE,452867.19,2025-10-11,2025-10-11,2025-10-20,2025-10-20
USR_410C2E86,TRUE,152627.25,2025-09-11,2025-09-11,2025-09-20,2025-09-20
USR_410C2E86,TRUE,783965.07,2025-08-11,2025-08-11,2025-08-20,2025-08-20
USR_BC5C4F5D,FALSE,930379.25,2025-12-11,2025-12-18,2025-12-20,2026-01-12
USR_BC5C4F5D,FALSE,607965.28,2025-12-11,2025-12-25,2025-12-20,2026-01-04
USR_BC5C4F5D,FALSE,992510.79,2025-11-11,2025-12-05,2025-11-20,2025-12-15
USR_BC5C4F5D,FALSE,716774.67,2025-10-11,2025-10-20,2025-10-20,2025-10-22
USR_BC5C4F5D,FALSE,699789.59,2025-09-11,2025-10-04,2025-09-20,2025-10-13
USR_BC5C4F5D,FALSE,257390.98,2025-08-11,2025-08-27,2025-08-20,2025-08-28
USR_C7FAC327,TRUE,553187.51,2025-12-11,2025-12-11,2025-12-20,2025-12-20
