person_id,q1,response_time_seconds_1,q2,response_time_seconds_2,q3,response_time_seconds_3,q4,response_time_seconds_4,q5,response_time_seconds_5,q6,response_time_seconds_6,q7,response_time_seconds_7,q8,response_time_seconds_8,q9,response_time_seconds_9,q10,response_time_seconds_10,latitude,longitude
USR_6531D56D,D,21.63,A,14.05,A,17.29,A,24.43,D,21.39,C,15.74,C,19.39,D,21.9,B,15.21,D,13.16,13.5558,77.3318
USR_62542950,C,28.94,C,13.6,D,29.47,B,31.08,D,5.94,C,23.77,D,13.04,C,10.58,B,36.05,B,24.47,22.8489,78.3673
USR_84B0D8F2,B,11.15,C,17.05,B,14.48,C,13.49,A,14.43,B,20.47,A,11.73,B,15.57,B,21.48,B,18.95,13.8506,76.6776
USR_335D72A3,A,6.94,C,9.16,A,10.89,A,11.59,A,6.59,C,5.14,B,5.55,B,7.27,A,5.83,B,7.44,23.0292,78.1314
USR_410C2E86,A,19.09,D,11.96,B,12.78,D,14.85,B,13.14,A,11.99,A,10.14,B,11.09,B,15.84,A,18.28,30.5336,77.7603
USR_6E24E8FE,D,24.86,C,10.4,C,31.71,D,16.83,D,11.96,D,6.26,D,3.63,C,12.05,C,28.13,D,33.63,27.6607,82.7774
USR_4308C6FB,D,19.77,D,19.96,B,16.79,A,22.36,B,17.6,C,24.79,C,21.73,B,17.35,B,11.1,B,11.66,11.683,78.7728
USR_4F282185,B,10.52,A,19.51,C,15.91,C,20.22,C,21.41,D,11.38,C,13.42,A,18.11,B,16.67,A,14.19,30.0419,78.0713
USR_821443F7,C,15.88,B,18.77,B,23.51,C,15.45,A,16.21,D,17.64,A,18.41,B,22.85,A,20.68,B,17.34,20.4418,73.7499
USR_AA5D9018,B,5.65,A,10.41,B,5.56,D,8.98,A,9.79,B,8.51,A,11.01,A,7.35,B,5.08,A,10.88,20.3182,71.4815
USR_05314AD6,A,15.95,D,20.92,C,18.0,D,13.79,B,16.05,D,11.99,D,18.11,D,18.57,B,4.88,A,8.92,17.6953,73.5222
USR_87B91F1C,D,16.09,B,10.8,B,18.33,A,15.62,A,15.41,B,10.69,A,11.99,C,22.27,A,19.41,A,14.73,17.2515,72.4109
USR_FF0AB7B1,C,23.93,C,11.47,B,21.17,B,10.13,A,15.78,C,13.71,B,20.75,A,19.62,A,13.9,B,23.73,20.426,71.9814
USR_3D429336,B,24.72,C,16.68,A,17.2,B,22.58,B,15.95,C,20.8,B,15.21,D,21.98,B,23.67,A,11.6,24.9986,80.9311
USR_9E075B1C,C,24.79,B,20.11,C,19.62,B,20.24,B,24.42,A,11.54,B,19.17,D,21.27,B,17.04,B,16.37,20.0146,73.609
USR_1CBF135D,D,31.88,A,9.71,D,32.98,D,18.68,B,39.81,D,15.56,A,8.15,D,17.01,C,36.06,C,11.14,18.6062,72.7209
USR_EDFC457A,B,11.79,B,23.87,C,11.69,C,11.73,D,14.8,C,21.47,C,20.04,A,16.0,A,15.41,B,21.25,17.7488,74.4037
USR_BC5C4F5D,B,10.21,B,16.99,A,11.26,B,16.61,B,15.35,B,14.79,A,22.22,C,14.04,B,12.28,C,16.39,25.724,80.1106
USR_C7FAC327,A,9.48,A,8.26,A,8.18,A,5.86,A,10.73,A,7.01,A,8.83,B,6.4,A,6.53,B,7.52,28.3198,77.1909
USR_ADEBB8CF,A,14.92,A,19.12,A,14.03,A,23.03,B,20.01,B,21.91,C,16.48,B,16.3,B,19.2,C,12.65,13.6453,78.1297
USR_04738E87,A,24.41,B,14.41,B,14.1,B,20.6,B,24.72,A,19.6,C,11.51,B,15.54,C,21.41,B,10.64,22.1962,80.8318
USR_9D211AF5,D,27.65,A,18.62,B,24.85,A,6.59,D,16.54,C,2.18,C,13.41,B,11.62,D,30.62,A,13.08,20.4642,72.0351
USR_02C3C498,B,20.84,D,37.99,D,30.74,A,35.75,D,10.4,D,37.65,D,9.79,C,32.28,C,22.93,D,33.6,30.0136,78.7388
USR_BD0A6A95,B,17.56,C,20.05,C,15.23,D,16.44,B,14.14,C,19.29,A,16.48,D,18.28,D,18.53,C,22.87,29.1676,77.614
USR_C8138BE5,B,17.33,D,26.84,C,2.92,D,18.12,A,13.96,D,21.58,C,30.26,D,13.11,C,21.8,B,33.55,26.9959,80.474
USR_F1374429,D,22.22,C,22.13,B,24.36,D,17.94,B,15.09,A,15.62,B,10.06,A,20.02,B,14.68,B,19.81,29.2352,76.0835
USR_31C59414,B,21.73,A,14.51,B,19.47,D,22.01,D,11.34,B,17.21,C,17.87,C,11.07,C,15.54,B,19.37,28.7101,82.0216
USR_58D0F1D0,A,27.2,C,12.82,C,4.3,B,34.6,B,35.56,C,18.89,B,31.1,D,7.7,D,28.33,C,8.69,19.7411,73.0664
USR_A9280717,A,11.82,A,9.94,A,10.8,D,6.03,A,10.46,B,8.39,A,11.5,A,6.09,A,11.11,A,6.1,27.6594,79.0473
USR_D13F1E6F,A,10.62,A,7.86,A,10.39,A,11.7,B,11.01,A,8.52,B,10.12,A,5.94,A,5.09,C,11.83,21.4321,80.2304
USR_6559E5E3,A,21.06,A,11.32,C,17.61,A,10.94,B,20.45,B,14.88,A,13.95,A,14.74,A,22.74,D,11.0,18.3023,74.3477
USR_9D84E443,D,11.18,D,2.35,D,38.43,D,27.4,B,39.6,C,10.16,D,39.32,A,27.41,D,33.51,D,38.02,24.0793,79.335
USR_EF7A789E,C,31.87,D,11.2,A,37.85,C,10.74,C,33.38,C,19.63,B,7.52,C,15.79,A,18.58,D,14.25,14.4896,79.1968
USR_250415B2,A,21.58,C,18.91,C,12.59,A,15.84,A,13.8,C,11.94,D,19.32,D,22.5,A,24.3,A,17.27,30.4913,76.7646
USR_C9077446,B,13.28,D,20.26,A,16.07,C,22.52,A,23.42,A,21.0,B,10.57,A,15.2,A,13.63,B,20.09,27.3469,79.125
USR_4BCB1944,D,17.69,B,13.41,B,23.58,A,23.7,C,11.32,B,10.1,B,13.84,A,20.21,A,12.31,C,21.67,27.363,80.9117
USR_48C7F0DE,A,10.73,A,11.64,D,6.09,A,10.99,B,5.44,B,5.99,A,10.68,D,9.45,B,10.45,A,8.61,23.6384,80.5404
USR_4809E90E,B,21.28,B,21.37,B,19.02,B,23.81,D,16.92,D,12.9,D,10.87,B,10.84,B,10.71,B,15.63,28.4199,78.9455
USR_70180564,B,20.51,B,23.02,A,18.67,B,24.67,B,11.77,B,16.12,C,22.51,C,10.54,C,18.29,B,18.86,23.5329,77.149
USR_176D24A4,A,13.1,B,20.94,D,14.7,C,24.78,A,11.79,A,21.98,D,21.71,C,14.33,A,11.08,B,23.87,26.2347,79.6693
USR_2213BE98,D,10.59,C,16.38,C,15.45,B,20.64,B,20.48,A,17.19,C,10.18,C,12.31,C,20.24,D,16.1,27.7769,82.4146
USR_5A57EE09,C,24.14,B,32.86,B,20.2,A,24.03,B,5.93,D,2.05,B,28.42,D,2.15,A,7.42,C,7.62,22.79,80.7112
USR_9CE5DD19,B,11.03,B,13.7,B,16.94,B,12.09,B,18.22,B,24.6,C,21.7,A,16.23,B,13.09,C,17.18,24.7631,78.4194
USR_0B88A208,B,5.94,D,32.1,C,35.29,D,37.77,D,3.46,C,18.13,D,28.11,C,13.56,C,21.79,C,11.97,25.8553,80.5399
USR_E456EDFC,B,20.33,B,11.22,C,10.46,B,12.33,A,17.21,B,23.53,B,14.48,C,13.88,A,19.52,C,11.69,20.1242,71.5339
USR_29936AD5,A,18.42,C,15.31,B,21.05,D,10.14,C,15.78,C,11.95,B,11.43,D,23.23,B,11.25,A,11.73,19.1776,71.7064
USR_0924668B,D,14.38,C,24.73,D,15.44,B,37.42,B,19.55,C,29.98,C,26.65,D,25.44,B,26.46,B,3.42,14.5116,75.6763
USR_4695DE0F,A,9.25,A,9.78,A,9.63,A,10.28,A,5.31,D,8.44,A,8.8,A,8.21,A,9.01,C,10.01,18.4031,74.8131
USR_0C5B684C,A,11.09,B,23.68,B,11.57,A,20.57,B,24.46,A,15.17,B,18.99,C,22.23,A,15.16,A,10.1,11.21,78.4167
USR_70CC91C9,B,11.37,B,23.58,A,24.87,C,23.77,A,24.9,B,16.08,B,10.13,B,22.5,B,23.26,C,19.81,30.5176,75.3365
USR_9DD92780,A,3.95,D,7.6,C,16.54,C,15.31,B,10.73,D,23.92,A,3.9,B,27.69,D,10.38,B,5.54,20.007,74.817
USR_A8D6BE98,A,18.19,D,12.79,C,12.76,D,10.4,C,9.45,B,37.8,C,22.21,D,6.97,D,8.4,A,6.77,26.8415,82.6293
USR_B0372D80,C,11.47,B,24.37,B,13.9,C,17.21,B,17.6,C,18.48,A,11.49,C,17.75,B,12.94,D,11.45,24.565,77.6693
USR_4E88EF40,B,22.19,C,11.9,C,11.69,B,11.36,C,10.01,B,14.8,A,19.88,A,12.12,B,16.71,B,13.93,12.5611,76.5699
USR_C277F95C,B,22.23,A,15.47,B,13.56,C,17.66,B,22.46,A,22.72,A,22.26,B,10.26,C,21.22,B,17.58,14.0787,76.4223
USR_AE0E9EB6,A,10.03,C,17.07,B,15.66,C,15.38,D,22.65,B,11.14,D,14.98,A,15.81,A,21.53,B,14.03,20.2678,71.2172
USR_536D8DBC,B,14.39,D,15.0,C,14.69,A,23.07,A,18.22,C,10.55,B,19.67,B,13.27,C,18.72,C,14.37,26.5749,79.0887
USR_E4FCF737,A,16.98,B,16.83,B,10.9,D,10.31,B,14.05,C,15.02,B,18.22,B,24.67,B,13.6,C,17.36,24.0821,78.8155
USR_0D6C312A,B,6.11,B,7.48,B,11.66,A,10.46,A,9.55,A,7.32,A,6.07,B,8.04,C,10.12,A,9.73,13.1242,79.5214
USR_3EEB1F48,A,7.64,A,7.35,A,7.88,A,9.41,D,6.37,A,10.94,A,11.76,C,9.85,A,11.51,B,6.97,20.2461,73.7024
USR_144D97CC,B,16.97,B,21.79,A,19.1,B,16.67,B,15.54,C,10.22,B,17.7,A,15.46,A,17.17,D,17.8,28.4609,79.458
USR_7D1D64FB,A,7.01,A,7.0,A,6.36,B,7.71,B,7.95,A,9.9,A,7.06,A,8.19,A,8.91,B,6.59,30.5522,77.6618
USR_DFBC8C50,B,22.96,D,5.79,B,38.34,C,9.75,C,27.39,A,33.44,B,6.72,A,22.61,A,13.11,A,12.75,28.6611,75.6122
USR_0B1CF6DC,C,19.79,C,7.5,C,30.36,A,29.87,A,22.2,D,23.14,C,3.33,C,18.0,D,38.85,C,15.48,23.2186,77.1665
USR_8924BA06,A,2.94,C,37.29,B,19.82,B,4.07,D,27.76,C,32.74,D,39.17,C,21.33,D,4.58,A,13.34,29.854,78.9602
USR_FC03D459,B,23.19,B,23.36,B,12.99,C,19.15,C,16.46,D,23.75,B,16.86,B,17.35,B,15.23,A,18.65,28.1492,75.7021
USR_E53B51F3,D,14.08,A,14.56,B,21.45,B,10.13,D,10.23,A,19.98,B,11.31,B,17.93,B,18.19,C,22.19,23.9597,77.4972
USR_5080924F,A,21.39,C,18.04,C,21.7,B,17.62,D,15.95,B,13.72,B,17.79,D,11.54,A,18.31,B,24.61,13.5583,76.2638
USR_F084BD24,A,22.36,A,10.96,A,10.81,A,11.44,B,24.58,C,17.34,D,13.1,A,24.31,B,19.51,B,18.97,26.1317,80.1752
USR_FE6391E3,D,22.33,C,12.58,D,18.01,B,15.47,B,12.04,C,20.72,C,14.6,B,16.99,B,13.52,A,21.24,29.841,76.3785
USR_50B8873A,B,16.94,B,13.17,C,18.15,C,13.6,B,23.91,B,18.52,B,18.09,B,21.09,C,12.78,A,14.17,13.2113,78.3548
USR_F1DBC157,C,23.91,D,17.86,B,12.84,B,10.66,B,14.82,B,10.52,C,21.26,A,23.43,D,22.91,A,14.7,19.0952,72.9801
USR_71C56D1A,C,19.27,B,22.39,A,12.97,B,18.1,C,24.69,C,22.66,B,17.0,B,11.34,A,18.8,D,23.14,19.3632,73.7523
USR_21ECBF06,B,19.81,B,15.64,C,21.86,B,10.01,C,19.76,B,24.84,B,10.8,B,21.93,A,19.63,C,11.68,18.6141,73.7582
USR_797D7C17,A,6.22,C,7.2,A,6.78,A,8.1,D,5.96,A,8.56,A,11.51,A,10.65,A,6.4,A,5.29,24.8485,81.544
USR_799B6D02,A,10.39,A,10.54,C,11.08,B,11.96,A,11.33,B,11.29,D,10.24,A,8.73,A,8.46,A,7.05,22.2846,78.8349
USR_63FEA3D7,D,29.93,C,37.5,B,30.22,B,32.7,D,36.54,C,29.33,A,24.95,B,27.91,C,4.83,B,21.04,17.8016,73.6408
USR_8E1CA70B,B,12.38,A,18.1,A,21.91,A,18.73,A,22.38,B,12.29,A,13.02,A,18.69,C,18.24,A,13.97,13.6415,78.0075
USR_01A24169,C,22.91,C,12.92,C,17.84,C,16.34,B,15.44,A,23.56,B,22.52,A,10.52,A,14.41,B,15.77,19.4415,73.4084
