person_id,date,type,counterparty_type,status,amount
USR_6531D56D,2025-11-14,P2M,MERCHANT,SUCCESS,1504.6
USR_6531D56D,2025-06-04,P2P,FRIEND,SUCCESS,234.56
USR_6531D56D,2025-01-06,P2M,MERCHANT,SUCCESS,1957.07
USR_6531D56D,2025-05-11,P2P,FRIEND,SUCCESS,1955.3
USR_6531D56D,2025-01-23,P2P,FRIEND,SUCCESS,1541.18
USR_6531D56D,2025-01-31,P2M,MERCHANT,SUCCESS,1008.77
USR_6531D56D,2025-01-14,P2M,MERCHANT,SUCCESS,1126.45
USR_6531D56D,2025-10-26,P2P,FRIEND,SUCCESS,161.85
USR_6531D56D,2025-06-05,P2P,FRIEND,SUCCESS,1817.71
USR_6531D56D,2025-11-14,P2M,MERCHANT,SUCCESS,930.63
USR_6531D56D,2025-07-19,P2P,FRIEND,FAILED,1758.58
USR_6531D56D,2025-08-23,P2M,MERCHANT,SUCCESS,328.36
USR_6531D56D,2025-04-11,P2M,MERCHANT,SUCCESS,520.95
USR_6531D56D,2025-06-01,P2M,MERCHANT,SUCCESS,1058.81
USR_6531D56D,2025-03-21,P2P,FRIEND,SUCCESS,1342.79
USR_6531D56D,2025-06-15,P2M,MERCHANT,SUCCESS,764.45
USR_6531D56D,2025-09-23,P2M,MERCHANT,SUCCESS,1258.44
USR_6531D56D,2025-05-02,P2P,FRIEND,FAILED,1919.4
USR_6531D56D,2025-03-14,P2M,MERCHANT,SUCCESS,1904.71
USR_6531D56D,2025-03-06,P2M,MERCHANT,SUCCESS,1442.72
USR_6531D56D,2025-06-26,P2M,MERCHANT,SUCCESS,1949.19
USR_6531D56D,2025-02-12,P2P,FRIEND,SUCCESS,1937.26
USR_6531D56D,2025-11-21,P2M,MERCHANT,SUCCESS,657.8
USR_6531D56D,2025-09-24,P2M,MERCHANT,SUCCESS,268.61
USR_6531D56D,2025-02-18,P2M,MERCHANT,SUCCESS,615.87
USR_6531D56D,2025-05-16,P2P,FRIEND,SUCCESS,1433.68
USR_6531D56D,2025-06-22,P2M,MERCHANT,SUCCESS,336.7
USR_6531D56D,2025-12-07,P2M,MERCHANT,SUCCESS,282.89
